Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,4379.799805,4379.799805,4280.000000,4292.299805,4219.896484,3508
2023-01-03,4292.299805,4296.049805,4207.799805,4239.149902,4167.643066,6395
2023-01-04,4240.049805,4272.100098,4218.850098,4233.799805,4162.383301,3825
2023-01-05,4247.600098,4387.000000,4241.450195,4311.250000,4238.526855,10144
2023-01-06,4341.799805,4369.149902,4311.250000,4358.200195,4284.685547,4238
2023-01-09,4408.950195,4408.950195,4337.399902,4360.350098,4286.798828,3498
2023-01-10,4331.649902,4364.200195,4319.000000,4328.750000,4255.731934,1984
2023-01-11,4335.149902,4357.000000,4298.850098,4312.950195,4240.198730,4091
2023-01-12,4315.649902,4340.000000,4285.250000,4299.100098,4226.582031,7211
2023-01-13,4341.950195,4368.850098,4290.000000,4335.549805,4262.416992,2220
2023-01-16,4333.000000,4337.450195,4301.000000,4306.000000,4233.365723,1849
2023-01-17,4306.049805,4371.399902,4295.399902,4365.149902,4291.517578,2560
2023-01-18,4350.350098,4419.649902,4350.350098,4394.350098,4320.225586,4577
2023-01-19,4369.250000,4400.000000,4360.000000,4370.000000,4296.286133,4570
2023-01-20,4320.600098,4361.899902,4315.000000,4319.350098,4246.490723,2390
2023-01-23,4315.250000,4355.000000,4315.250000,4338.250000,4265.071777,2756
2023-01-24,4336.450195,4407.149902,4324.000000,4397.950195,4323.764648,3247
2023-01-25,4350.850098,4436.000000,4350.850098,4397.200195,4323.027344,1884
2023-01-27,4356.600098,4437.350098,4355.600098,4380.299805,4306.412109,7776
2023-01-30,4370.000000,4420.000000,4321.049805,4408.549805,4334.185547,3176
2023-01-31,4391.049805,4417.149902,4264.200195,4318.100098,4245.261719,8130
2023-02-01,4354.950195,4444.000000,4329.100098,4369.299805,4295.597656,13095
2023-02-02,4502.049805,4596.649902,4371.700195,4575.700195,4498.516602,36803
2023-02-03,4590.000000,4656.450195,4571.500000,4624.799805,4546.788086,26221
2023-02-06,4602.000000,4634.100098,4602.000000,4626.600098,4548.557617,4502
2023-02-07,4630.000000,4661.500000,4595.950195,4605.350098,4527.666016,5979
2023-02-08,4597.049805,4637.049805,4578.000000,4590.950195,4513.509277,3670
2023-02-09,4626.899902,4658.000000,4585.000000,4637.600098,4559.372070,1722
2023-02-10,4680.000000,4680.000000,4597.049805,4619.049805,4541.134766,5196
2023-02-13,4619.500000,4635.250000,4580.600098,4585.850098,4508.495117,1800
2023-02-14,4603.950195,4622.750000,4583.000000,4598.649902,4521.079102,1227
2023-02-15,4597.950195,4597.950195,4530.799805,4589.450195,4512.034668,2686
2023-02-16,4586.000000,4616.899902,4564.350098,4571.100098,4493.994141,3020
