Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,8630.000000,8643.049805,8530.000000,8632.200195,8551.724609,220225
2023-02-28,8650.000000,8709.000000,8605.299805,8624.349609,8543.947266,370998
2023-03-01,8620.000000,8776.250000,8620.000000,8764.150391,8682.444336,333441
2023-03-02,8771.000000,8771.000000,8509.099609,8548.750000,8469.051758,603893
2023-03-03,8592.049805,8629.000000,8550.000000,8601.250000,8521.062500,437977
2023-03-06,8640.000000,8663.000000,8590.950195,8631.450195,8550.981445,275417
2023-03-08,8625.000000,8712.049805,8610.049805,8693.900391,8612.849609,348171
2023-03-09,8725.000000,8737.000000,8534.049805,8541.950195,8462.315430,431466
2023-03-10,8530.000000,8628.000000,8480.099609,8601.549805,8521.359375,516128
2023-03-13,8601.549805,8637.299805,8481.099609,8518.400391,8438.985352,479314
2023-03-14,8544.950195,8544.950195,8445.000000,8512.150391,8432.793945,349510
2023-03-15,8650.000000,8704.950195,8440.000000,8474.950195,8395.940430,509229
2023-03-16,8460.099609,8533.400391,8411.000000,8437.450195,8358.790039,340261
2023-03-17,8503.000000,8510.950195,8293.549805,8316.849609,8239.313477,471602
2023-03-20,8316.849609,8316.849609,8130.000000,8219.599609,8142.970215,488199
2023-03-21,8245.000000,8275.000000,8215.000000,8228.400391,8151.688965,287497
2023-03-22,8236.000000,8289.599609,8217.000000,8252.400391,8175.465332,218120
2023-03-23,8264.000000,8375.000000,8232.599609,8353.200195,8275.325195,540553
2023-03-24,8353.200195,8386.500000,8211.000000,8242.900391,8166.053711,391840
2023-03-27,8250.000000,8316.799805,8229.549805,8278.349609,8201.172852,364326
2023-03-28,8305.900391,8355.599609,8140.000000,8208.799805,8132.270996,360349
2023-03-29,8249.849609,8319.099609,8187.500000,8295.299805,8217.964844,339851
2023-03-31,8325.950195,8370.000000,8257.049805,8292.150391,8214.844727,478757
2023-04-03,8412.849609,8579.000000,8390.349609,8503.049805,8423.778320,627265
2023-04-05,8521.950195,8548.000000,8430.000000,8447.049805,8368.299805,272888
2023-04-06,8464.000000,8535.000000,8377.099609,8516.650391,8437.251953,309551
2023-04-10,8456.599609,8555.799805,8403.049805,8535.150391,8455.579102,308275
2023-04-11,8580.000000,8670.950195,8545.000000,8659.549805,8578.819336,409240
2023-04-12,8672.000000,8709.950195,8591.000000,8621.049805,8540.677734,408458
2023-04-13,8628.049805,8704.000000,8620.000000,8670.799805,8589.963867,480202
2023-04-17,8850.000000,8850.000000,8650.000000,8674.650391,8593.778320,489356
2023-04-18,8692.950195,8748.799805,8690.000000,8732.650391,8651.238281,276111
2023-04-19,8690.049805,8741.799805,8662.450195,8679.950195,8599.029297,280819
2023-04-20,8670.000000,8739.900391,8665.150391,8714.650391,8633.406250,369060
2023-04-21,8679.400391,8704.000000,8550.000000,8558.450195,8478.662109,424157
2023-04-24,8577.000000,8577.000000,8444.750000,8466.150391,8387.222656,543745
2023-04-25,8510.000000,8525.000000,8420.000000,8468.900391,8389.947266,906406
2023-04-26,8527.000000,8550.000000,8434.900391,8506.900391,8427.592773,959058
2023-04-27,8570.000000,8570.000000,8471.250000,8542.950195,8463.306641,536521
2023-04-28,8593.000000,8612.450195,8535.099609,8589.549805,8509.471680,387567
2023-05-02,8622.700195,8827.000000,8606.000000,8776.849609,8695.025391,865562
2023-05-03,8770.000000,8828.000000,8715.049805,8797.299805,8715.285156,537008
2023-05-04,8796.650391,8822.950195,8743.000000,8800.599609,8718.553711,271926
2023-05-05,8800.599609,8988.000000,8790.000000,8948.650391,8865.224609,951591
2023-05-08,9046.000000,9120.950195,8960.000000,9076.250000,8991.633789,678780
2023-05-09,9083.000000,9140.000000,9051.849609,9111.549805,9026.605469,415394
2023-05-10,9128.799805,9180.000000,9060.000000,9168.150391,9082.677734,366827
2023-05-11,9242.950195,9315.000000,9142.049805,9260.900391,9174.563477,644550
2023-05-12,9260.950195,9329.799805,9232.650391,9295.400391,9208.741211,403028
2023-05-15,9242.000000,9307.500000,9185.400391,9207.299805,9121.461914,259316
2023-05-16,9219.099609,9229.299805,9057.099609,9071.349609,8986.779297,448981
2023-05-17,9080.349609,9132.000000,9032.049805,9119.400391,9034.382813,290482
2023-05-18,9144.950195,9150.000000,9044.099609,9053.299805,8968.898438,272497
2023-05-19,9060.000000,9118.200195,8960.549805,9105.950195,9021.057617,543472
2023-05-22,9090.000000,9169.700195,9073.849609,9156.650391,9071.285156,182115
2023-05-23,9169.000000,9235.000000,9156.750000,9200.700195,9114.923828,269008
2023-05-24,9168.000000,9318.200195,9159.000000,9270.750000,9184.321289,470365
2023-05-25,9220.750000,9293.400391,9216.049805,9281.849609,9195.317383,218979
2023-05-26,9333.000000,9415.000000,9311.250000,9399.950195,9312.316406,346760
2023-05-29,9435.000000,9488.799805,9312.049805,9333.500000,9246.486328,236834
2023-05-30,9380.000000,9402.900391,9300.000000,9383.349609,9295.871094,372004
2023-05-31,9449.950195,9449.950195,9267.599609,9367.700195,9280.367188,1614766
2023-06-01,9337.500000,9377.549805,9222.000000,9328.299805,9241.333984,378706
2023-06-02,9389.000000,9525.150391,9312.700195,9485.349609,9396.919922,445105
